round_epochs,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy,batch_size,dropout,epochs,first_neuron,last_activation,loss,lr,optimizer,weight_regulizer
40,2.2513084411621094,0.8294488787651062,2.429564952850342,0.6636814475059509,2,0.4,40,128,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.239076614379883,0.7851659059524536,2.3750126361846924,0.6539261341094971,2,0.4,40,128,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.530637264251709,0.5645736455917358,2.545919179916382,0.5531744956970215,3,0,40,256,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.3320016860961914,0.7574719190597534,2.4253785610198975,0.6633616089820862,3,0,40,256,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.159281015396118,0.9186317324638367,2.3468875885009766,0.7322884798049927,3,0,40,256,softmax,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.2261924743652344,0.8520702123641968,2.386457681655884,0.6903886198997498,3,0,40,256,softmax,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.3668813705444336,0.6703454852104187,2.3956172466278076,0.6364944577217102,3,0,40,256,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.172441244125366,0.8751028180122375,2.2867536544799805,0.7474812269210815,3,0,40,256,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.172485113143921,0.8984782099723816,2.3987388610839844,0.6908683776855469,3,0,40,256,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.19502854347229,0.8482999801635742,2.350836992263794,0.67311692237854,3,0,40,256,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.5416789054870605,0.5592267513275146,2.5557239055633545,0.5490164756774902,3,0,40,128,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.359475612640381,0.7341650724411011,2.432389974594116,0.6606428623199463,3,0,40,128,softmax,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.163285732269287,0.9149986505508423,2.3562753200531006,0.7238125801086426,3,0,40,128,softmax,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.181962013244629,0.8962846398353577,2.3743340969085693,0.7043019533157349,3,0,40,128,softmax,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.4013092517852783,0.6379901170730591,2.4238734245300293,0.6133056282997131,3,0,40,128,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
40,2.207181930541992,0.8326706886291504,2.295254707336426,0.7321285605430603,3,0,40,128,hard_sigmoid,categorical_crossentropy,0.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
40,2.1425936222076416,0.9296682476997375,2.391319751739502,0.7020630240440369,3,0,40,128,hard_sigmoid,categorical_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adadelta.Adadelta'>,None
